"Code","Label","level","superior","segment1","Code1","segment2","Code2","segment3","Code3","segment4","Code4","Parent","duplicateCode","orphan","childless","duplicateLabel","singleChildMismatch"
"A01","01 Crop and animal production, hunting and related service activities",2,NA,"A","A","01","A01",NA,NA,NA,NA,"A",0,0,0,0,0
"A01.1","01.1 Growing of non-perennial crops",3,NA,"A","A","01","A01","1","A01.1",NA,NA,"A01",0,0,0,0,0
"A01.11","01.11 Growing of cereals (except rice), leguminous crops and oil seeds",4,NA,"A","A","01","A01","1","A01.1","1","A01.11","A01.1",0,0,NA,0,0
"A01.12","01.12 Growing of rice",4,NA,"A","A","01","A01","1","A01.1","2","A01.12","A01.1",0,0,NA,0,0
"A01.13","01.13 Growing of vegetables and melons, roots and tubers",4,NA,"A","A","01","A01","1","A01.1","3","A01.13","A01.1",0,0,NA,0,0
"A01.14","01.14 Growing of sugar cane",4,NA,"A","A","01","A01","1","A01.1","4","A01.14","A01.1",0,0,NA,0,0
"A01.15","01.15 Growing of tobacco",4,NA,"A","A","01","A01","1","A01.1","5","A01.15","A01.1",0,0,NA,0,0
"A01.16","01.16 Growing of fibre crops",4,NA,"A","A","01","A01","1","A01.1","6","A01.16","A01.1",0,0,NA,0,0
"A01.19","01.19 Growing of other non-perennial crops",4,NA,"A","A","01","A01","1","A01.1","9","A01.19","A01.1",0,0,NA,0,0
"A01.2","01.2 Growing of perennial crops",3,NA,"A","A","01","A01","2","A01.2",NA,NA,"A01",0,0,0,0,0
"A01.21","01.21 Growing of grapes",4,NA,"A","A","01","A01","2","A01.2","1","A01.21","A01.2",0,0,NA,0,0
"A01.22","01.22 Growing of tropical and subtropical fruits",4,NA,"A","A","01","A01","2","A01.2","2","A01.22","A01.2",0,0,NA,0,0
"A01.23","01.23 Growing of citrus fruits",4,NA,"A","A","01","A01","2","A01.2","3","A01.23","A01.2",0,0,NA,0,0
"A01.24","01.24 Growing of pome fruits and stone fruits",4,NA,"A","A","01","A01","2","A01.2","4","A01.24","A01.2",0,0,NA,0,0
"A01.25","01.25 Growing of other tree and bush fruits and nuts",4,NA,"A","A","01","A01","2","A01.2","5","A01.25","A01.2",0,0,NA,0,0
"A01.26","01.26 Growing of oleaginous fruits",4,NA,"A","A","01","A01","2","A01.2","6","A01.26","A01.2",0,0,NA,0,0
"A01.27","01.27 Growing of beverage crops",4,NA,"A","A","01","A01","2","A01.2","7","A01.27","A01.2",0,0,NA,0,0
"A01.28","01.28 Growing of spices, aromatic, drug and pharmaceutical crops",4,NA,"A","A","01","A01","2","A01.2","8","A01.28","A01.2",0,0,NA,0,0
"A01.29","01.29 Growing of other perennial crops",4,NA,"A","A","01","A01","2","A01.2","9","A01.29","A01.2",0,0,NA,0,0
"A01.3","01.3 Plant propagation",3,NA,"A","A","01","A01","3","A01.3",NA,NA,"A01",0,0,0,0,0
"A01.30","01.30 Plant propagation",4,NA,"A","A","01","A01","3","A01.3","0","A01.30","A01.3",0,0,NA,0,0
"A01.4","01.4 Animal production",3,NA,"A","A","01","A01","4","A01.4",NA,NA,"A01",0,0,0,0,0
"A01.41","01.41 Raising of dairy cattle",4,NA,"A","A","01","A01","4","A01.4","1","A01.41","A01.4",0,0,NA,0,0
"A01.42","01.42 Raising of other cattle and buffaloes",4,NA,"A","A","01","A01","4","A01.4","2","A01.42","A01.4",0,0,NA,0,0
"A01.43","01.43 Raising of horses and other equines",4,NA,"A","A","01","A01","4","A01.4","3","A01.43","A01.4",0,0,NA,0,0
