"NACE.Rev..2.Code level","NACE.Rev..2.1.Code level","NACE.Rev..2.Code","NACE.Rev..2.1.Code","N of NACE.Rev..2.CodeAcode level values ","N of NACE.Rev..2.Code2 level values ","N of NACE.Rev..2.Code3 level values ","N of NACE.Rev..2.Code4 level values ","N of NACE.Rev..2.1.CodeBcode level values ","N of NACE.Rev..2.1.Code2 level values ","N of NACE.Rev..2.1.Code3 level values ","N of NACE.Rev..2.1.Code4 level values "
"1","1","A","A","1","3","13","37","1","3","13","37"
"1","1","B","B","1","5","10","15","1","5","10","15"
"1","1","C","C","1","22","86","200","1","22","86","200"
"1","1","D","D","1","1","3","8","1","1","3","8"
"1","1","E","E","1","4","6","9","1","4","6","9"
"1","1","F","F","1","2","7","18","1","2","7","18"
"1","1","G","G","1","2","15","67","1","2","15","67"
"1","1","H","H","1","5","14","21","1","5","14","21"
"1","1","I","I","1","2","6","6","1","2","6","6"
"1","1","J","J","1","3","6","13","1","3","6","13"
"1","1","J","K","1","2","4","4","1","2","4","4"
"1","1","K","L","1","3","8","16","1","3","8","16"
"1","1","L","M","1","1","2","3","1","1","2","3"
"1","1","M","N","1","7","11","13","1","7","11","13"
"1","1","N","O","1","5","14","25","1","5","14","25"
"1","1","O","P","1","1","3","9","1","1","3","9"
"1","1","P","Q","1","1","4","8","1","1","4","8"
"1","1","Q","R","1","3","7","10","1","3","7","10"
"1","1","R","S","1","2","3","7","1","2","3","7"
"1","1","S","T","1","2","4","12","1","2","4","12"
"1","1","T","U","1","2","3","3","1","2","3","3"
"1","1","U","V","1","1","1","1","1","1","1","1"
"1","2","A","01","1","1","7","29","1","1","7","29"
"1","2","A","02","1","1","4","4","1","1","4","4"
"1","2","A","03","1","1","2","4","1","1","2","4"
"1","2","B","05","1","1","2","2","1","1","2","2"
"1","2","B","06","1","1","2","2","1","1","2","2"
"1","2","B","07","1","1","2","3","1","1","2","3"
"1","2","B","08","1","1","2","6","1","1","2","6"
"1","2","B","09","1","1","2","2","1","1","2","2"
"1","2","C","10","1","1","9","25","1","1","9","25"
"1","2","C","11","1","1","1","7","1","1","1","7"
"1","2","C","12","1","1","1","1","1","1","1","1"
"1","2","C","13","1","1","4","10","1","1","4","10"
"1","2","C","15","1","1","2","3","1","1","2","3"
"1","2","C","16","1","1","1","4","1","1","1","4"
"1","2","C","17","1","1","2","6","1","1","2","6"
"1","2","C","18","1","1","2","5","1","1","2","5"
"1","2","C","19","1","1","2","2","1","1","2","2"
"1","2","C","20","1","1","6","14","1","1","6","14"
"1","2","C","21","1","1","2","2","1","1","2","2"
"1","2","C","22","1","1","2","4","1","1","2","4"
"1","2","C","23","1","1","8","21","1","1","8","21"
"1","2","C","24","1","1","5","16","1","1","5","16"
"1","2","C","25","1","1","6","12","1","1","6","12"
"1","2","C","26","1","1","7","9","1","1","7","9"
"1","2","C","27","1","1","6","10","1","1","6","10"
"1","2","C","28","1","1","5","20","1","1","5","20"
"1","2","C","29","1","1","3","4","1","1","3","4"
"1","2","C","30","1","1","4","7","1","1","4","7"
"1","2","C","32","1","1","6","9","1","1","6","9"
"1","2","C","33","1","1","2","9","1","1","2","9"
"1","2","D","35","1","1","3","8","1","1","3","8"
"1","2","E","36","1","1","1","1","1","1","1","1"
"1","2","E","37","1","1","1","1","1","1","1","1"
"1","2","E","38","1","1","3","6","1","1","3","6"
"1","2","E","39","1","1","1","1","1","1","1","1"
"1","2","F","42","1","1","3","7","1","1","3","7"
"1","2","F","43","1","1","4","11","1","1","4","11"
"1","2","G","46","1","1","7","39","1","1","7","39"
"1","2","G","47","1","1","8","28","1","1","8","28"
"1","2","H","49","1","1","4","7","1","1","4","7"
"1","2","H","50","1","1","4","4","1","1","4","4"
"1","2","H","51","1","1","2","3","1","1","2","3"
"1","2","H","52","1","1","2","5","1","1","2","5"
"1","2","H","53","1","1","2","2","1","1","2","2"
"1","2","I","55","1","1","4","4","1","1","4","4"
"1","2","I","56","1","1","2","2","1","1","2","2"
"1","2","J","58","1","1","2","6","1","1","2","6"
"1","2","J","59","1","1","2","5","1","1","2","5"
"1","2","J","60","1","1","2","2","1","1","2","2"
"1","2","J","61","1","1","3","3","1","1","3","3"
"1","2","J","63","1","1","1","1","1","1","1","1"
"1","2","K","64","1","1","2","5","1","1","2","5"
"1","2","K","65","1","1","3","4","1","1","3","4"
"1","2","K","66","1","1","3","7","1","1","3","7"
"1","2","L","68","1","1","2","3","1","1","2","3"
