"ISIC Rev. 4","CPC 2.1","ISIC4partial","CPC21partial"
"0111","01111","1","0"
"0111","01112","1","0"
"0111","01121","1","0"
"0111","01122","1","0"
"0111","01141","1","0"
"0111","01142","1","0"
"0111","01151","1","0"
"0111","01152","1","0"
"0111","01161","1","0"
"0111","01162","1","0"
"0111","01171","1","0"
"0111","01172","1","0"
"0111","01181","1","0"
"0111","01182","1","0"
"0111","01191","1","0"
"0111","01192","1","0"
"0111","01193","1","0"
"0111","01194","1","0"
"0111","01195","1","0"
"0111","01199","1","0"
"0111","01241","1","0"
"0111","01242","1","0"
"0111","01243","1","0"
"0111","01249","1","0"
"0111","01411","1","0"
"0111","01412","1","0"
"0111","01421","1","0"
"0111","01422","1","0"
"0111","01431","1","0"
"0111","01432","1","0"
"0111","01441","1","0"
"0111","01442","1","0"
"0111","01443","1","0"
"0111","01444","1","0"
"0111","01445","1","0"
"0111","01446","1","0"
"0111","01447","1","0"
"0111","01448","1","0"
"0111","01449","1","0"
"0111","01701","1","0"
"0111","01702","1","0"
"0111","01703","1","0"
"0111","01704","1","0"
"0111","01705","1","0"
"0111","01706","1","0"
"0111","01707","1","0"
"0111","01708","1","0"
"0111","01709","1","0"
"0111","01913","1","0"
"0111","86113","1","1"
"0112","01131","1","0"
"0112","01132","1","0"
"0112","86113","1","1"
"0113","01211","1","0"
"0113","01212","1","0"
"0113","01213","1","0"
"0113","01214","1","0"
"0113","01215","1","0"
"0113","01216","1","0"
"0113","01219","1","0"
"0113","01221","1","0"
"0113","01229","1","0"
"0113","01232","1","0"
"0113","01233","1","0"
"0113","01234","1","0"
"0113","01235","1","0"
"0113","01239","1","0"
"0113","01251","1","0"
"0113","01252","1","0"
"0113","01253","1","0"
"0113","01254","1","0"
"0113","01259","1","0"
"0113","01260","1","0"
"0113","01270","1","1"
"0113","01290","1","0"
"0113","01510","1","0"
"0113","01520","1","0"
"0113","01530","1","0"
"0113","01540","1","0"
"0113","01550","1","0"
"0113","01591","1","0"
"0113","01599","1","0"
"0113","01801","1","0"
"0113","01803","1","0"
"0113","86113","1","1"
"0114","01802","0","0"
"0114","86113","1","1"
"0115","01970","0","0"
"0115","86113","1","1"
"0116","01921","1","0"
"0116","01922","1","0"
"0116","01929","1","0"
"0116","86113","1","1"
"0119","01911","1","0"
"0119","01912","1","0"
"0119","01919","1","0"
"0119","01940","1","0"
"0119","01962","1","0"
"0119","01963","1","0"
"0119","01990","1","1"
