NAICS 2017,NACE Rev. 2,NACE Rev. 2,US NAICS 2017,Notes
111110,01.11,"Growing of cereals (except rice), leguminous crops and oil seeds",Soybean Farming,
111120,01.11,"Growing of cereals (except rice), leguminous crops and oil seeds",Oilseed (except Soybean) Farming,
111130,01.11,"Growing of cereals (except rice), leguminous crops and oil seeds",Dry Pea and Bean Farming,
111140,01.11,"Growing of cereals (except rice), leguminous crops and oil seeds",Wheat Farming,
111150,01.11,"Growing of cereals (except rice), leguminous crops and oil seeds",Corn Farming,
111191,01.11,"Growing of cereals (except rice), leguminous crops and oil seeds",Oilseed and Grain Combination Farming,
111199,01.11,"Growing of cereals (except rice), leguminous crops and oil seeds",All Other Grain Farming,
111992,01.11,"Growing of cereals (except rice), leguminous crops and oil seeds",Peanut Farming,
111998,01.11,"Growing of cereals (except rice), leguminous crops and oil seeds",All Other Miscellaneous Crop Farming,"Field crops, n.e.c.; and combinations of grains, cereal crops, and other similar crops"
111160,01.12,Growing of rice,Rice Farming,
111211,01.13,"Growing of vegetables and melons, roots and tubers",Potato Farming,
111219,01.13,"Growing of vegetables and melons, roots and tubers",Other Vegetable (except Potato) and Melon Farming,"Except kale, mangold wurzel, and pepper farming"
111411,01.13,"Growing of vegetables and melons, roots and tubers",Mushroom Production,
111419,01.13,"Growing of vegetables and melons, roots and tubers",Other Food Crops Grown Under Cover,"Growing of vegetables and melons, etc. under cover"
111991,01.13,"Growing of vegetables and melons, roots and tubers",Sugar Beet Farming,
111930,01.14,Growing of sugar cane,Sugarcane Farming,
111910,01.15,Growing of tobacco,Tobacco Farming,
111920,01.16,Growing of fibre crops,Cotton Farming,
111998,01.16,Growing of fibre crops,All Other Miscellaneous Crop Farming,"Sisal, abaca, and other textile fibres"
111219,01.19,Growing of other non-perennial crops,Other Vegetable (except Potato) and Melon Farming,"Kale, mangold wurzel, etc"
111422,01.19,Growing of other non-perennial crops,Floriculture Production,
111940,01.19,Growing of other non-perennial crops,Hay Farming,
111336,01.2,Growing of perennial crops,Fruit and Tree Nut Combination Farming,Link to NACE group level - Class depends on main component
111332,01.21,Growing of grapes,Grape Vineyards,
111339,01.22,Growing of tropical and subtropical fruits,Other Noncitrus Fruit Farming,Banana and other tropical or subtropical fruit farming
111419,01.22,Growing of tropical and subtropical fruits,Other Food Crops Grown Under Cover,"Growing of tropical and subtropical fruits, under cover"
111310,01.23,Growing of citrus fruits,Orange Groves,
111320,01.23,Growing of citrus fruits,Citrus (except Orange) Groves,
111331,01.24,Growing of pome fruits and stone fruits,Apple Orchards,
111339,01.24,Growing of pome fruits and stone fruits,Other Noncitrus Fruit Farming,"Growing of apricots, peaches, cherries and other stone or pome fruits"
111333,01.25,Growing of other tree and bush fruits and nuts,Strawberry Farming,
111334,01.25,Growing of other tree and bush fruits and nuts,Berry (except Strawberry) Farming,
111335,01.25,Growing of other tree and bush fruits and nuts,Tree Nut Farming,Except nuts used chiefly for oil extraction
111339,01.25,Growing of other tree and bush fruits and nuts,Other Noncitrus Fruit Farming,Other noncitrus fruit seed growing
111335,01.26,Growing of oleaginous fruits,Tree Nut Farming,Nuts used chiefly for oil extraction including tung nuts
111339,01.26,Growing of oleaginous fruits,Other Noncitrus Fruit Farming,Growing of olives and coconuts and other oleaginous fruits
111339,01.27,Growing of beverage crops,Other Noncitrus Fruit Farming,Coffee farming
111998,01.27,Growing of beverage crops,All Other Miscellaneous Crop Farming,Tea and mate growing
111219,01.28,"Growing of spices, aromatic, drug and pharmaceutical crops",Other Vegetable (except Potato) and Melon Farming,"Pepper farming e.g., bell, chili, red, green"
111419,01.28,"Growing of spices, aromatic, drug and pharmaceutical crops",Other Food Crops Grown Under Cover,Herbs and ginseng grown under cover
111998,01.28,"Growing of spices, aromatic, drug and pharmaceutical crops",All Other Miscellaneous Crop Farming,Spice crop production
111421,01.29,Growing of other perennial crops,Nursery and Tree Production,Short rotation tree farming (such as Christmas trees)
111998,01.29,Growing of other perennial crops,All Other Miscellaneous Crop Farming,Natural rubber latex; growing maple trees for the harvest of maple sap
111421,01.30,Plant propagation,Nursery and Tree Production,Except short rotation tree farming (such as Christmas tree farms)
112120,01.41,Raising of dairy cattle,Dairy Cattle and Milk Production,
112130,01.41,Raising of dairy cattle,Dual-Purpose Cattle Ranching and Farming,
