"Code","Label"
"A01","01 Crop and animal production, hunting and related service activities"
"A01.1","01.1 Growing of non-perennial crops"
"A01.11","01.11 Growing of cereals (except rice), leguminous crops and oil seeds"
"A01.12","01.12 Growing of rice"
"A01.13","01.13 Growing of vegetables and melons, roots and tubers"
"A01.14","01.14 Growing of sugar cane"
"A01.15","01.15 Growing of tobacco"
"A01.16","01.16 Growing of fibre crops"
"A01.19","01.19 Growing of other non-perennial crops"
"A01.2","01.2 Growing of perennial crops"
"A01.21","01.21 Growing of grapes"
"A01.22","01.22 Growing of tropical and subtropical fruits"
"A01.23","01.23 Growing of citrus fruits"
"A01.24","01.24 Growing of pome fruits and stone fruits"
"A01.25","01.25 Growing of other tree and bush fruits and nuts"
"A01.26","01.26 Growing of oleaginous fruits"
"A01.27","01.27 Growing of beverage crops"
"A01.28","01.28 Growing of spices, aromatic, drug and pharmaceutical crops"
"A01.29","01.29 Growing of other perennial crops"
"A01.3","01.3 Plant propagation"
"A01.30","01.30 Plant propagation"
"A01.4","01.4 Animal production"
"A01.41","01.41 Raising of dairy cattle"
"A01.42","01.42 Raising of other cattle and buffaloes"
"A01.43","01.43 Raising of horses and other equines"
"A01.44","01.44 Raising of camels and camelids"
"A01.45","01.45 Raising of sheep and goats"
"A01.46","01.46 Raising of swine/pigs"
"A01.47","01.47 Raising of poultry"
"A01.49","01.49 Raising of other animals"
"A01.5","01.5 Mixed farming"
"A01.50","01.50 Mixed farming"
"A01.6","01.6 Support activities to agriculture and post-harvest crop activities"
"A01.61","01.61 Support activities for crop production"
"A01.62","01.62 Support activities for animal production"
"A01.63","01.63 Post-harvest crop activities"
"A01.64","01.64 Seed processing for propagation"
"A01.7","01.7 Hunting, trapping and related service activities"
"A01.70","01.70 Hunting, trapping and related service activities"
"A02","02 Forestry and logging"
"A02.1","02.1 Silviculture and other forestry activities"
"A02.10","02.10 Silviculture and other forestry activities"
"A02.2","02.2 Logging"
"A02.20","02.20 Logging"
"A02.3","02.3 Gathering of wild growing non-wood products"
"A02.30","02.30 Gathering of wild growing non-wood products"
"A02.4","02.4 Support services to forestry"
"A02.40","02.40 Support services to forestry"
"A03","03 Fishing and aquaculture"
"A03.1","03.1 Fishing"
"A03.11","03.11 Marine fishing"
"A03.12","03.12 Freshwater fishing"
"A03.2","03.2 Aquaculture"
"A03.21","03.21 Marine aquaculture"
"A03.22","03.22 Freshwater aquaculture"
"B05","05 Mining of coal and lignite"
"B05.1","05.1 Mining of hard coal"
"B05.10","05.10 Mining of hard coal"
"B05.2","05.2 Mining of lignite"
"B05.20","05.20 Mining of lignite"
"B06","06 Extraction of crude petroleum and natural gas"
"B06.1","06.1 Extraction of crude petroleum"
"B06.10","06.10 Extraction of crude petroleum"
"B06.2","06.2 Extraction of natural gas"
"B06.20","06.20 Extraction of natural gas"
"B07","07 Mining of metal ores"
"B07.1","07.1 Mining of iron ores"
"B07.10","07.10 Mining of iron ores"
"B07.2","07.2 Mining of non-ferrous metal ores"
"B07.21","07.21 Mining of uranium and thorium ores"
"B07.29","07.29 Mining of other non-ferrous metal ores"
"B08","08 Other mining and quarrying"
"B08.1","08.1 Quarrying of stone, sand and clay"
"B08.11","08.11 Quarrying of ornamental and building stone, limestone, gypsum, chalk and slate"
"B08.12","08.12 Operation of gravel and sand pits; mining of clays and kaolin"
"B08.9","08.9 Mining and quarrying n.e.c."
"B08.91","08.91 Mining of chemical and fertiliser minerals"
"B08.92","08.92 Extraction of peat"
"B08.93","08.93 Extraction of salt"
"B08.99","08.99 Other mining and quarrying n.e.c."
"B09","09 Mining support service activities"
"B09.1","09.1 Support activities for petroleum and natural gas extraction"
"B09.10","09.10 Support activities for petroleum and natural gas extraction"
"B09.9","09.9 Support activities for other mining and quarrying"
"B09.90","09.90 Support activities for other mining and quarrying"
"C10","10 Manufacture of food products"
"C10.1","10.1 Processing and preserving of meat and production of meat products"
"C10.11","10.11 Processing and preserving of meat"
