"NACE Rev. 2 Code","Level","Superior"
"A",1,NA
"B",1,NA
"C",1,NA
"D",1,NA
"E",1,NA
"F",1,NA
"G",1,NA
"H",1,NA
"I",1,NA
"J",1,NA
"K",1,NA
"L",1,NA
"M",1,NA
"N",1,NA
"O",1,NA
"P",1,NA
"Q",1,NA
"R",1,NA
"S",1,NA
"T",1,NA
"U",1,NA
"01",2,"A"
"02",2,"A"
"03",2,"A"
"05",2,"B"
"06",2,"B"
"07",2,"B"
"08",2,"B"
"09",2,"B"
"10",2,"C"
"11",2,"C"
"12",2,"C"
"13",2,"C"
"14",2,"C"
"15",2,"C"
"16",2,"C"
"17",2,"C"
"18",2,"C"
"19",2,"C"
"20",2,"C"
"21",2,"C"
"22",2,"C"
"23",2,"C"
"24",2,"C"
"25",2,"C"
"26",2,"C"
"27",2,"C"
"28",2,"C"
"29",2,"C"
"30",2,"C"
"31",2,"C"
"32",2,"C"
"33",2,"C"
"35",2,"D"
"36",2,"E"
"37",2,"E"
"38",2,"E"
"39",2,"E"
"41",2,"F"
"42",2,"F"
"43",2,"F"
"45",2,"G"
"46",2,"G"
"47",2,"G"
"49",2,"H"
"50",2,"H"
"51",2,"H"
"52",2,"H"
"53",2,"H"
"55",2,"I"
"56",2,"I"
"58",2,"J"
"59",2,"J"
"60",2,"J"
"61",2,"J"
"62",2,"J"
"63",2,"J"
"64",2,"K"
"65",2,"K"
"66",2,"K"
"68",2,"L"
"69",2,"M"
"70",2,"M"
"71",2,"M"
"72",2,"M"
"73",2,"M"
"74",2,"M"
"75",2,"M"
"77",2,"N"
"78",2,"N"
"79",2,"N"
"80",2,"N"
"81",2,"N"
"82",2,"N"
"84",2,"O"
"85",2,"P"
"86",2,"Q"
"87",2,"Q"
"88",2,"Q"
"90",2,"R"
"91",2,"R"
"92",2,"R"
"93",2,"R"
"94",2,"S"
"95",2,"S"
"96",2,"S"
"97",2,"T"
"98",2,"T"
"99",2,"U"
"01.1",3,"01"
"01.2",3,"01"
"01.3",3,"01"
"01.4",3,"01"
"01.5",3,"01"
"01.6",3,"01"
"01.7",3,"01"
"02.1",3,"02"
"02.2",3,"02"
"02.3",3,"02"
